Year,Peel,SSB
1973,0,22160.63
1974,0,14780.41
1975,0,9014.28
1976,0,10023.85
1977,0,8350.85
1978,0,6168.66
1979,0,8500.7
1980,0,10884.19
1981,0,10143.69
1982,0,12974.57
1983,0,11102.99
1984,0,3846.86
1985,0,2558.03
1986,0,3210.14
1987,0,2749.58
1988,0,2197.99
1989,0,4169.75
1990,0,4749.64
1991,0,3485.02
1992,0,4471.61
1993,0,3965.53
1994,0,2823.17
1995,0,2940.88
1996,0,4992.4
1997,0,6378.63
1998,0,7258.73
1999,0,9592
2000,0,10258.97
2001,0,9252.1
2002,0,10104.38
2003,0,10029.28
2004,0,5416.42
2005,0,3158.67
2006,0,2313.51
2007,0,2734.13
2008,0,3234.5
2009,0,3226.56
2010,0,3003.62
2011,0,2988.06
2012,0,2593.3
1973,1,22160.63
1974,1,14780.41
1975,1,9014.28
1976,1,10023.85
1977,1,8350.85
1978,1,6168.66
1979,1,8500.7
1980,1,10884.19
1981,1,10143.69
1982,1,12974.57
1983,1,11102.99
1984,1,3846.86
1985,1,2558.03
1986,1,3210.14
1987,1,2749.58
1988,1,2197.99
1989,1,4169.75
1990,1,4749.64
1991,1,3485.02
1992,1,4471.61
1993,1,3965.53
1994,1,2823.17
1995,1,2940.89
1996,1,4992.41
1997,1,6378.65
1998,1,7258.77
1999,1,9592.09
2000,1,10259.2
2001,1,9252.65
2002,1,10105.53
2003,1,10031.96
2004,1,5422.63
2005,1,3175.85
2006,1,2378.29
2007,1,2921.17
2008,1,3660.26
2009,1,4191.18
2010,1,4441.94
2011,1,4552.36
2012,1,NA
1973,2,22160.63
1974,2,14780.41
1975,2,9014.28
1976,2,10023.85
1977,2,8350.85
1978,2,6168.66
1979,2,8500.7
1980,2,10884.19
1981,2,10143.69
1982,2,12974.57
1983,2,11102.99
1984,2,3846.86
1985,2,2558.03
1986,2,3210.14
1987,2,2749.58
1988,2,2197.99
1989,2,4169.75
1990,2,4749.64
1991,2,3485.02
1992,2,4471.61
1993,2,3965.54
1994,2,2823.17
1995,2,2940.9
1996,2,4992.46
1997,2,6378.75
1998,2,7258.98
1999,2,9592.66
2000,2,10260.59
2001,2,9255.9
2002,2,10112.48
2003,2,10048.1
2004,2,5459.94
