Year	Stock	Assessment	SSB	F	R	Smsy	Source
1973	GByt 	1	21143	0.95	28290	58800	NEFSC 2002
1974	GByt 	1	14130	1.25	50265	58800	NEFSC 2002
1975	GByt 	1	8398	1.59	68516	58800	NEFSC 2002
1976	GByt 	1	9271	1.09	22919	58800	NEFSC 2002
1977	GByt 	1	7592	1.1	15760	58800	NEFSC 2002
1978	GByt 	1	5469	0.97	50823	58800	NEFSC 2002
1979	GByt 	1	7702	1.01	23375	58800	NEFSC 2002
1980	GByt 	1	10112	0.74	22099	58800	NEFSC 2002
1981	GByt 	1	9716	1.33	61066	58800	NEFSC 2002
1982	GByt 	1	12537	1.22	21627	58800	NEFSC 2002
1983	GByt 	1	10427	0.74	5818	58800	NEFSC 2002
1984	GByt 	1	3485	2.27	8620	58800	NEFSC 2002
1985	GByt 	1	2732	1.18	14594	58800	NEFSC 2002
1986	GByt 	1	3763	1.01	6660	58800	NEFSC 2002
1987	GByt 	1	2638	1.5	7023	58800	NEFSC 2002
1988	GByt 	1	2198	1.79	19349	58800	NEFSC 2002
1989	GByt 	1	5739	0.84	8528	58800	NEFSC 2002
1990	GByt 	1	4850	1.02	11685	58800	NEFSC 2002
1991	GByt 	1	4360	1.39	22048	58800	NEFSC 2002
1992	GByt 	1	4885	1.22	15873	58800	NEFSC 2002
1993	GByt 	1	4421	1.15	11798	58800	NEFSC 2002
1994	GByt 	1	2438	2.77	9988	58800	NEFSC 2002
1995	GByt 	1	2268	0.94	12714	58800	NEFSC 2002
1996	GByt 	1	4335	0.56	17661	58800	NEFSC 2002
1997	GByt 	1	6663	0.55	33375	58800	NEFSC 2002
1998	GByt 	1	11258	0.46	58222	58800	NEFSC 2002
1999	GByt 	1	21989	0.29	53641	58800	NEFSC 2002
2000	GByt 	1	31677	0.24	48490	58800	NEFSC 2002
2001	GByt 	1	38932	0.13	50544	58800	NEFSC 2002
1973	GByt 	2	21947	0.9045	29386	58800	NEFSC 2005
1974	GByt 	2	14807	1.1648	52186	58800	NEFSC 2005
1975	GByt 	2	9048	1.4349	70632	58800	NEFSC 2005
1976	GByt 	2	9998	1.0151	24731	58800	NEFSC 2005
1977	GByt 	2	8394	0.9988	17280	58800	NEFSC 2005
1978	GByt 	2	6159	0.95	54436	58800	NEFSC 2005
1979	GByt 	2	8429	0.9941	25511	58800	NEFSC 2005
1980	GByt 	2	10919	0.7202	24034	58800	NEFSC 2005
1981	GByt 	2	10409	1.2366	62999	58800	NEFSC 2005
1982	GByt 	2	13412	1.0958	22847	58800	NEFSC 2005
1983	GByt 	2	11371	0.6727	6582	58800	NEFSC 2005
1984	GByt 	2	4269	1.8053	10842	58800	NEFSC 2005
1985	GByt 	2	3506	1.032	16748	58800	NEFSC 2005
1986	GByt 	2	4608	0.8036	8473	58800	NEFSC 2005
1987	GByt 	2	3487	1.3377	9199	58800	NEFSC 2005
1988	GByt 	2	3044	1.5607	22878	58800	NEFSC 2005
1989	GByt 	2	6647	0.9246	9732	58800	NEFSC 2005
1990	GByt 	2	5717	0.9352	11542	58800	NEFSC 2005
1991	GByt 	2	4519	1.3311	22787	58800	NEFSC 2005
1992	GByt 	2	4597	1.1495	18342	58800	NEFSC 2005
1993	GByt 	2	4239	1.3208	13961	58800	NEFSC 2005
1994	GByt 	2	2908	1.6859	10669	58800	NEFSC 2005
1995	GByt 	2	2652	0.9604	11145	58800	NEFSC 2005
1996	GByt 	2	4346	0.6348	13220	58800	NEFSC 2005
1997	GByt 	2	5690	0.7094	18556	58800	NEFSC 2005
1998	GByt 	2	7018	0.7751	24156	58800	NEFSC 2005
1999	GByt 	2	9639	0.6904	26119	58800	NEFSC 2005
2000	GByt 	2	10723	0.8726	22406	58800	NEFSC 2005
2001	GByt 	2	9990	0.9057	25986	58800	NEFSC 2005
2002	GByt 	2	11713	0.5611	39088	58800	NEFSC 2005
2003	GByt 	2	15349	0.4903	34263	58800	NEFSC 2005
2004	GByt 	2	15705	1.1867	14985	58800	NEFSC 2005
1973	GByt 	3	22161	0.9	29384	43200	NEFSC 2008
1974	GByt 	3	14780	1.16	52184	43200	NEFSC 2008
1975	GByt 	3	9014	1.43	70632	43200	NEFSC 2008
1976	GByt 	3	10024	1.02	24731	43200	NEFSC 2008
1977	GByt 	3	8351	1	17283	43200	NEFSC 2008
1978	GByt 	3	6169	0.95	54437	43200	NEFSC 2008
1979	GByt 	3	8501	0.99	25508	43200	NEFSC 2008
1980	GByt 	3	10884	0.72	24034	43200	NEFSC 2008
1981	GByt 	3	10144	1.24	62997	43200	NEFSC 2008
1982	GByt 	3	12975	1.1	22846	43200	NEFSC 2008
1983	GByt 	3	11103	0.67	6581	43200	NEFSC 2008
1984	GByt 	3	3847	1.81	10843	43200	NEFSC 2008
1985	GByt 	3	2558	1.03	16749	43200	NEFSC 2008
1986	GByt 	3	3210	0.8	8473	43200	NEFSC 2008
1987	GByt 	3	2750	1.34	9193	43200	NEFSC 2008
1988	GByt 	3	2198	1.56	22841	43200	NEFSC 2008
1989	GByt 	3	4170	0.93	9661	43200	NEFSC 2008
1990	GByt 	3	4750	0.94	11217	43200	NEFSC 2008
1991	GByt 	3	3485	1.34	22557	43200	NEFSC 2008
1992	GByt 	3	4472	1.19	17518	43200	NEFSC 2008
1993	GByt 	3	3966	1.47	13938	43200	NEFSC 2008
1994	GByt 	3	2823	1.83	13180	43200	NEFSC 2008
1995	GByt 	3	2941	0.93	11672	43200	NEFSC 2008
