year	stock	age	CAA
1968	GBcod	1	NA
1969	GBcod	1	NA
1970	GBcod	1	NA
1971	GBcod	1	NA
1972	GBcod	1	NA
1973	GBcod	1	NA
1974	GBcod	1	NA
1975	GBcod	1	NA
1976	GBcod	1	NA
1977	GBcod	1	NA
1978	GBcod	1	379.6
1979	GBcod	1	513.8
1980	GBcod	1	566.8
1981	GBcod	1	863.5
1982	GBcod	1	730.7
1983	GBcod	1	471.7
1984	GBcod	1	190.3
1985	GBcod	1	219.0
1986	GBcod	1	665.6
1987	GBcod	1	63.9
1988	GBcod	1	139.4
1989	GBcod	1	360.2
1990	GBcod	1	42.5
1991	GBcod	1	161.2
1992	GBcod	1	96.8
1993	GBcod	1	31.7
1994	GBcod	1	45.5
1995	GBcod	1	17.7
1996	GBcod	1	57.0
1997	GBcod	1	86.1
1998	GBcod	1	70.0
1999	GBcod	1	45.9
2000	GBcod	1	61.9
2001	GBcod	1	12.6
2002	GBcod	1	11.7
2003	GBcod	1	3.4
2004	GBcod	1	53.1
2005	GBcod	1	7.1
2006	GBcod	1	10.4
2007	GBcod	1	2.8
2008	GBcod	1	9.8
2009	GBcod	1	18.8
2010	GBcod	1	10.8
2011	GBcod	1	14.9
2012	GBcod	1	3.6
2013	GBcod	1	3.7
2014	GBcod	1	8.9
1968	GBcod	2	NA
1969	GBcod	2	NA
1970	GBcod	2	NA
1971	GBcod	2	NA
1972	GBcod	2	NA
1973	GBcod	2	NA
1974	GBcod	2	NA
1975	GBcod	2	NA
1976	GBcod	2	NA
1977	GBcod	2	NA
1978	GBcod	2	851.9
1979	GBcod	2	2862.4
1980	GBcod	2	4600.7
1981	GBcod	2	4091.9
1982	GBcod	2	10888.4
1983	GBcod	2	4748.7
1984	GBcod	2	1519.9
1985	GBcod	2	7511.9
1986	GBcod	2	1584.9
1987	GBcod	2	8395.3
1988	GBcod	2	2256.4
1989	GBcod	2	2462.2
1990	GBcod	2	5481.4
1991	GBcod	2	2161.6
1992	GBcod	2	4669.0
1993	GBcod	2	1320.6
1994	GBcod	2	559.9
1995	GBcod	2	565.9
1996	GBcod	2	326.4
1997	GBcod	2	666.3
1998	GBcod	2	923.2
1999	GBcod	2	401.9
2000	GBcod	2	968.3
2001	GBcod	2	710.1
2002	GBcod	2	66.1
2003	GBcod	2	158.1
2004	GBcod	2	60.1
2005	GBcod	2	268.4
2006	GBcod	2	47.6
2007	GBcod	2	351.8
2008	GBcod	2	309.2
2009	GBcod	2	117.6
2010	GBcod	2	140.2
2011	GBcod	2	119.5
2012	GBcod	2	134.3
2013	GBcod	2	140.1
2014	GBcod	2	99.9
1968	GBcod	3	NA
1969	GBcod	3	NA
1970	GBcod	3	NA
1971	GBcod	3	NA
1972	GBcod	3	NA
1973	GBcod	3	NA
1974	GBcod	3	NA
1975	GBcod	3	NA
1976	GBcod	3	NA
1977	GBcod	3	NA
1978	GBcod	3	9025.5
1979	GBcod	3	1691.5
1980	GBcod	3	6454.5
1981	GBcod	3	5220.9
1982	GBcod	3	4697.5
1983	GBcod	3	7825.2
1984	GBcod	3	3531.3
1985	GBcod	3	2825.7
1986	GBcod	3	4711.2
1987	GBcod	3	1533.1
1988	GBcod	3	9037.6
1989	GBcod	3	3217.4
1990	GBcod	3	5740.7
1991	GBcod	3	3681.4
1992	GBcod	3	2337.1
1993	GBcod	3	4855.0
1994	GBcod	3	1634.8
1995	GBcod	3	1407.6
1996	GBcod	3	1012.9
1997	GBcod	3	778.2
1998	GBcod	3	1367.3
1999	GBcod	3	2060.7
2000	GBcod	3	791.1
2001	GBcod	3	2704.5
2002	GBcod	3	1153.9
2003	GBcod	3	418.9
2004	GBcod	3	421.8
2005	GBcod	3	202.8
2006	GBcod	3	742.2
2007	GBcod	3	281.1
2008	GBcod	3	715.2
2009	GBcod	3	612.5
2010	GBcod	3	424.1
2011	GBcod	3	490.6
2012	GBcod	3	306.4
2013	GBcod	3	415.9
2014	GBcod	3	278.2
1968	GBcod	4	NA
1969	GBcod	4	NA
1970	GBcod	4	NA
1971	GBcod	4	NA
1972	GBcod	4	NA
1973	GBcod	4	NA
1974	GBcod	4	NA
1975	GBcod	4	NA
1976	GBcod	4	NA
1977	GBcod	4	NA
1978	GBcod	4	2804.5
1979	GBcod	4	4934.5
1980	GBcod	4	838.3
1981	GBcod	4	2965.3
1982	GBcod	4	2984.0
1983	GBcod	4	2389.9
1984	GBcod	4	3390.7
1985	GBcod	4	1715.7
1986	GBcod	4	901.5
1987	GBcod	4	2265.1
1988	GBcod	4	1139.5
1989	GBcod	4	4406.9
1990	GBcod	4	2067.6
1991	GBcod	4	3260.3
1992	GBcod	4	1080.4
1993	GBcod	4	1303.2
1994	GBcod	4	2101.5
1995	GBcod	4	740.5
1996	GBcod	4	1314.1
1997	GBcod	4	1122.3
1998	GBcod	4	534.2
1999	GBcod	4	866.4
2000	GBcod	4	1234.8
2001	GBcod	4	748.5
2002	GBcod	4	1529.7
2003	GBcod	4	825.1
2004	GBcod	4	253.2
2005	GBcod	4	692.6
2006	GBcod	4	207.8
2007	GBcod	4	1226.4
2008	GBcod	4	182.3
2009	GBcod	4	462.8
2010	GBcod	4	593.4
2011	GBcod	4	433.8
2012	GBcod	4	365.8
2013	GBcod	4	183.6
2014	GBcod	4	402.5
1968	GBcod	5	NA
1969	GBcod	5	NA
1970	GBcod	5	NA
1971	GBcod	5	NA
1972	GBcod	5	NA
1973	GBcod	5	NA
1974	GBcod	5	NA
1975	GBcod	5	NA
1976	GBcod	5	NA
1977	GBcod	5	NA
1978	GBcod	5	933.4
1979	GBcod	5	1194.6
1980	GBcod	5	2568.9
1981	GBcod	5	374.0
1982	GBcod	5	2152.1
1983	GBcod	5	1296.0
1984	GBcod	5	870.5
1985	GBcod	5	2231.9
1986	GBcod	5	565.3
1987	GBcod	5	312.9
1988	GBcod	5	1618.6
1989	GBcod	5	415.4
1990	GBcod	5	2335.1
1991	GBcod	5	1469.0
1992	GBcod	5	1520.8
1993	GBcod	5	517.1
1994	GBcod	5	450.2
1995	GBcod	5	473.5
1996	GBcod	5	259.9
1997	GBcod	5	956.0
1998	GBcod	5	424.3
1999	GBcod	5	289.7
2000	GBcod	5	344.4
2001	GBcod	5	702.9
2002	GBcod	5	372.4
2003	GBcod	5	915.9
2004	GBcod	5	314.7
2005	GBcod	5	197.1
2006	GBcod	5	371.7
2007	GBcod	5	74.9
2008	GBcod	5	539.5
2009	GBcod	5	127.1
2010	GBcod	5	164.2
2011	GBcod	5	328.6
2012	GBcod	5	121.6
2013	GBcod	5	34.2
2014	GBcod	5	77.9
1968	GBcod	6	NA
1969	GBcod	6	NA
1970	GBcod	6	NA
1971	GBcod	6	NA
1972	GBcod	6	NA
1973	GBcod	6	NA
1974	GBcod	6	NA
1975	GBcod	6	NA
1976	GBcod	6	NA
1977	GBcod	6	NA
1978	GBcod	6	347.2
1979	GBcod	6	621.2
1980	GBcod	6	1162.6
1981	GBcod	6	1349.9
1982	GBcod	6	293.8
1983	GBcod	6	953.1
1984	GBcod	6	619.7
1985	GBcod	6	531.7
1986	GBcod	6	670.1
1987	GBcod	6	269.1
1988	GBcod	6	223.4
1989	GBcod	6	586.4
1990	GBcod	6	227.9
1991	GBcod	6	1078.0
1992	GBcod	6	477.4
1993	GBcod	6	581.3
1994	GBcod	6	101.1
1995	GBcod	6	58.2
1996	GBcod	6	188.1
1997	GBcod	6	156.7
1998	GBcod	6	316.2
1999	GBcod	6	127.4
2000	GBcod	6	91.5
2001	GBcod	6	185.9
2002	GBcod	6	378.3
2003	GBcod	6	152.1
2004	GBcod	6	253.8
2005	GBcod	6	143.7
2006	GBcod	6	71.9
2007	GBcod	6	138.4
2008	GBcod	6	21.6
2009	GBcod	6	210.1
2010	GBcod	6	26.2
2011	GBcod	6	89.4
2012	GBcod	6	60.3
2013	GBcod	6	11.7
2014	GBcod	6	10.9
1968	GBcod	7	NA
1969	GBcod	7	NA
1970	GBcod	7	NA
1971	GBcod	7	NA
1972	GBcod	7	NA
1973	GBcod	7	NA
1974	GBcod	7	NA
1975	GBcod	7	NA
1976	GBcod	7	NA
1977	GBcod	7	NA
1978	GBcod	7	287.2
1979	GBcod	7	200.6
1980	GBcod	7	461.3
1981	GBcod	7	432.6
1982	GBcod	7	752.1
1983	GBcod	7	181.6
1984	GBcod	7	484.2
1985	GBcod	7	277.9
1986	GBcod	7	98.4
1987	GBcod	7	289.7
1988	GBcod	7	168.5
1989	GBcod	7	89.6
1990	GBcod	7	229.1
1991	GBcod	7	137.8
1992	GBcod	7	408.6
1993	GBcod	7	190.4
1994	GBcod	7	166.3
1995	GBcod	7	61.4
1996	GBcod	7	20.2
1997	GBcod	7	119.2
1998	GBcod	7	48.0
1999	GBcod	7	145.8
2000	GBcod	7	46.8
2001	GBcod	7	55.1
2002	GBcod	7	84.9
2003	GBcod	7	142.0
2004	GBcod	7	56.4
2005	GBcod	7	109.4
2006	GBcod	7	31.4
2007	GBcod	7	16.9
2008	GBcod	7	48.3
2009	GBcod	7	12.9
2010	GBcod	7	76.1
2011	GBcod	7	20.8
2012	GBcod	7	21.3
2013	GBcod	7	4.1
2014	GBcod	7	2.3
1968	GBcod	8	NA
1969	GBcod	8	NA
1970	GBcod	8	NA
1971	GBcod	8	NA
1972	GBcod	8	NA
1973	GBcod	8	NA
1974	GBcod	8	NA
1975	GBcod	8	NA
1976	GBcod	8	NA
1977	GBcod	8	NA
1978	GBcod	8	45.8
1979	GBcod	8	330.8
1980	GBcod	8	97.0
1981	GBcod	8	156.4
1982	GBcod	8	212.9
1983	GBcod	8	319.4
1984	GBcod	8	57.6
1985	GBcod	8	242.3
1986	GBcod	8	79.3
1987	GBcod	8	61.3
1988	GBcod	8	235.5
1989	GBcod	8	58.2
1990	GBcod	8	24.0
1991	GBcod	8	95.6
1992	GBcod	8	59.1
1993	GBcod	8	156.1
1994	GBcod	8	54.2
1995	GBcod	8	26.6
1996	GBcod	8	12.7
1997	GBcod	8	25.6
1998	GBcod	8	19.8
1999	GBcod	8	24.3
2000	GBcod	8	39.4
2001	GBcod	8	25.8
2002	GBcod	8	17.9
2003	GBcod	8	27.7
2004	GBcod	8	48.6
2005	GBcod	8	22.6
2006	GBcod	8	28.8
2007	GBcod	8	10.5
2008	GBcod	8	4.6
2009	GBcod	8	14.1
2010	GBcod	8	3.5
2011	GBcod	8	23.5
2012	GBcod	8	1.6
2013	GBcod	8	2.7
2014	GBcod	8	0.9
1968	GBcod	9	NA
1969	GBcod	9	NA
1970	GBcod	9	NA
1971	GBcod	9	NA
1972	GBcod	9	NA
1973	GBcod	9	NA
1974	GBcod	9	NA
1975	GBcod	9	NA
1976	GBcod	9	NA
1977	GBcod	9	NA
1978	GBcod	9	40.9
1979	GBcod	9	11.0
1980	GBcod	9	151.1
1981	GBcod	9	162.2
1982	GBcod	9	83.1
1983	GBcod	9	125.7
1984	GBcod	9	198.4
1985	GBcod	9	36.7
1986	GBcod	9	62.2
1987	GBcod	9	39.4
1988	GBcod	9	60.8
1989	GBcod	9	69.4
1990	GBcod	9	19.8
1991	GBcod	9	27.9
1992	GBcod	9	45.1
1993	GBcod	9	49.4
1994	GBcod	9	39.6
1995	GBcod	9	11.3
1996	GBcod	9	11.8
1997	GBcod	9	9.2
1998	GBcod	9	4.9
