year	stock	survey	n_tow	kg_tow		
1968	GBcod	NMFS spring BTS	4.7	12.7		
1969	GBcod	NMFS spring BTS	4.6	17.8		
1970	GBcod	NMFS spring BTS	4.3	15.8		
1971	GBcod	NMFS spring BTS	3.4	14.3		
1972	GBcod	NMFS spring BTS	9.2	19.3		
1973	GBcod	NMFS spring BTS	57.6	94.1		
1974	GBcod	NMFS spring BTS	14.7	36.4		
1975	GBcod	NMFS spring BTS	6.9	26.1		
1976	GBcod	NMFS spring BTS	7.1	18.6		
1977	GBcod	NMFS spring BTS	6.3	15.4		
1978	GBcod	NMFS spring BTS	12.3	31.2		
1979	GBcod	NMFS spring BTS	5	16.2		
1980	GBcod	NMFS spring BTS	7.7	24.1		
1981	GBcod	NMFS spring BTS	10.4	26.1		
1982	GBcod	NMFS spring BTS	33	101.9		
1983	GBcod	NMFS spring BTS	7.7	23.5		
1984	GBcod	NMFS spring BTS	4.1	15.3		
1985	GBcod	NMFS spring BTS	7	21.7		
1986	GBcod	NMFS spring BTS	5	16.7		
1987	GBcod	NMFS spring BTS	3.2	9.9		
1988	GBcod	NMFS spring BTS	5.9	13.5		
1989	GBcod	NMFS spring BTS	4.8	10.9		
1990	GBcod	NMFS spring BTS	4.8	11.7		
1991	GBcod	NMFS spring BTS	4.3	8.9		
1992	GBcod	NMFS spring BTS	2.7	7.4		
1993	GBcod	NMFS spring BTS	2.4	7		
1994	GBcod	NMFS spring BTS	0.9	1.2		
1995	GBcod	NMFS spring BTS	3.3	8.4		
1996	GBcod	NMFS spring BTS	2.7	7.5		
1997	GBcod	NMFS spring BTS	2.3	5.2		
1998	GBcod	NMFS spring BTS	4.4	11.7		
1999	GBcod	NMFS spring BTS	2.1	4.7		
2000	GBcod	NMFS spring BTS	3.6	8.2		
2001	GBcod	NMFS spring BTS	1.9	5.5		
2002	GBcod	NMFS spring BTS	2.1	5		
2003	GBcod	NMFS spring BTS	2	4.2		
2004	GBcod	NMFS spring BTS	5.4	14.3		
2005	GBcod	NMFS spring BTS	2	4.5		
2006	GBcod	NMFS spring BTS	3.2	6.1		
2007	GBcod	NMFS spring BTS	3.4	5.1		
2008	GBcod	NMFS spring BTS	3.6	4.3		
2009	GBcod	NMFS spring BTS	2.3	3.5		
2010	GBcod	NMFS spring BTS	1.9	3.8		
2011	GBcod	NMFS spring BTS	1	1.9		
2012	GBcod	NMFS spring BTS	1.7	3.5		
2013	GBcod	NMFS spring BTS	3.5	5.7		
2014	GBcod	NMFS spring BTS	1.8	3.5		
1964	GBwinter	NMFS spring BTS	1.75	2.77		
1965	GBwinter	NMFS spring BTS	2.7	3.03		
1966	GBwinter	NMFS spring BTS	4.79	5.26		
1967	GBwinter	NMFS spring BTS	1.78	2.11		
1968	GBwinter	NMFS spring BTS	2.66	2.99		
1969	GBwinter	NMFS spring BTS	2.95	4.02		
1970	GBwinter	NMFS spring BTS	1.81	2.2		
1971	GBwinter	NMFS spring BTS	1.71	2.04		
1972	GBwinter	NMFS spring BTS	4.71	4.9		
1973	GBwinter	NMFS spring BTS	1.34	1.73		
1974	GBwinter	NMFS spring BTS	3.19	3.16		
1975	GBwinter	NMFS spring BTS	0.92	0.72		
1976	GBwinter	NMFS spring BTS	2.23	1.57		
1977	GBwinter	NMFS spring BTS	1.95	0.9		
1978	GBwinter	NMFS spring BTS	3.25	2.52		
1979	GBwinter	NMFS spring BTS	0.79	1.09		
1980	GBwinter	NMFS spring BTS	1.63	1.45		
1981	GBwinter	NMFS spring BTS	1.92	2		
1982	GBwinter	NMFS spring BTS	2.42	1.57		
1983	GBwinter	NMFS spring BTS	8.29	6.93		
1984	GBwinter	NMFS spring BTS	5.12	5.22		
1985	GBwinter	NMFS spring BTS	3.54	2.44		
1986	GBwinter	NMFS spring BTS	2.1	1.26		
1987	GBwinter	NMFS spring BTS	2.61	1.16		
1988	GBwinter	NMFS spring BTS	2.68	1.51		
1989	GBwinter	NMFS spring BTS	1.25	0.73		
1990	GBwinter	NMFS spring BTS	2.65	1.48		
1991	GBwinter	NMFS spring BTS	2.21	1.21		
1992	GBwinter	NMFS spring BTS	1.34	0.83		
1993	GBwinter	NMFS spring BTS	1	0.58		
1994	GBwinter	NMFS spring BTS	1.25	0.56		
1995	GBwinter	NMFS spring BTS	2.42	1.38		
1996	GBwinter	NMFS spring BTS	2.12	1.38		
1997	GBwinter	NMFS spring BTS	1.48	1.09		
1998	GBwinter	NMFS spring BTS	0.78	0.71		
1999	GBwinter	NMFS spring BTS	3.56	3.21		
2000	GBwinter	NMFS spring BTS	4.25	3.55		
2001	GBwinter	NMFS spring BTS	1.25	1.16		
2002	GBwinter	NMFS spring BTS	4.73	4.82		
2003	GBwinter	NMFS spring BTS	1.22	1.3		
2004	GBwinter	NMFS spring BTS	0.42	0.51		
2005	GBwinter	NMFS spring BTS	1	0.8		
2006	GBwinter	NMFS spring BTS	0.58	0.49		
2007	GBwinter	NMFS spring BTS	0.75	0.68		
2008	GBwinter	NMFS spring BTS	7.35	5.42		
2009	GBwinter	NMFS spring BTS	2.68	1.36		
2010	GBwinter	NMFS spring BTS	2.08	1.36		
2011	GBwinter	NMFS spring BTS	1.86	1.15		
2012	GBwinter	NMFS spring BTS	2.6	2.01		
2013	GBwinter	NMFS spring BTS	3.37	2.55		
2014	GBwinter	NMFS spring BTS	4.345	3.45		
1964	GBhaddock	NMFS spring BTS	NA	NA		
1965	GBhaddock	NMFS spring BTS	NA	NA		
1966	GBhaddock	NMFS spring BTS	NA	NA		
1967	GBhaddock	NMFS spring BTS	NA	NA		
1968	GBhaddock	NMFS spring BTS	13.6	20.6		
1969	GBhaddock	NMFS spring BTS	7.2	16.9		
1970	GBhaddock	NMFS spring BTS	5.9	17.1		
