Short Name,ADIOS name,Region,Species
GBcod,ADIOS_SV_164712_GBK_NONE_strat_mean_age,GB,Cod
GOMcod,ADIOS_SV_164712_GOM_NONE_strat_mean_age,GOM,Cod
plaice,ADIOS_SV_172877_UNIT_NONE_strat_mean_age,GOM,Plaice
GBwinter,ADIOS_SV_172905_GBK_NONE_strat_mean_age,GB,Winter fl.
SNEMAwinter,ADIOS_SV_172905_SNEMA_NONE_strat_mean_age,SNE/MA,Winter fl.
witch,ADIOS_SV_172873_UNIT_NONE_strat_mean_age,GOM,Witch fl.
CCGOMyt,ADIOS_SV_172909_CCGOM_NONE_strat_mean_age,GOM,Yellowtail fl.
GByt,ADIOS_SV_172909_GBK_NONE_strat_mean_age,GB,Yellowtail fl.
SNEMAyt,ADIOS_SV_172909_SNEMA_NONE_strat_mean_age,SNE/MA,Yellowtail fl.
GBhaddock,ADIOS_SV_164744_GBK_NONE_strat_mean_age,GB,Haddock
GOMhaddock,ADIOS_SV_164744_GOM_NONE_strat_mean_age,GOM,Haddock
whitehake,ADIOS_SV_164732_UNIT_NONE_strat_mean_age,GOM,White hake
herring,ADIOS_SV_161722_UNIT_NONE_strat_mean_age,Pelagic,Herring
mackerel,ADIOS_SV_172414_UNIT_NONE_strat_mean_age,Pelagic,Mackerel
redfish,ADIOS_SV_166774_UNIT_NONE_strat_mean_age,GOM,Redfish
pollock,ADIOS_SV_164727_UNIT_NONE_strat_mean_age,GOM,Pollock
scup,ADIOS_SV_169182_UNIT_NONE_strat_mean_age,SNE/MA,Scup
butterfish,ADIOS_SV_172567_UNIT_NONE_strat_mean_age,Pelagic,Butterfish
fluke,ADIOS_SV_172735_UNIT_NONE_strat_mean_age,SNE/MA,Summer fl.
