stock	stock_name	stock_abbr	rho	source
GBcod	GB cod	GBC	0.68	SARC 55
GOMcod	GOM cod	GMC	0.54	NEFSC 2015
GOMhaddock	GOM haddock	GMH	-0.04	NEFSC 2015
GBhaddock	GB haddock	GBH	0.5	NEFSC 2015
CCGOMyt	CC/GOM yellowtail	GMY	0.98	NEFSC 2015
SNEMAyt	SNE/MA yellowtail	SNY	1.06	NEFSC 2015
GByt	GB yellowtail	GBY	1.985	TRAC 2013
GBwinter	GB winter	GBW	0.83	NEFSC 2015
SNEMAwinter	SNE/MA winter	SNW	0.21	NEFSC 2015
redfish	redfish	RED	0.26	NEFSC 2015
plaice	plaice	PLA	0.32	NEFSC 2015
whitehake	white hake	WHK	0.18	NEFSC 2015
pollock	pollock	POL	0.28	NEFSC 2015
witch	witch	WCH	0.91	NEFSC 2015
scup	scup	SCP	-0.08	SAW 60
fluke	summer flounder	SFL	0.11	Terceiro 2016
mackerel	mackerel	MAC	1.68	Deroba et al. 2009
herring	herring	HER	0.67	Deroba 2015
